Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-05-03 02:32:33,32.3182,-86.9023,7700,288,0,7412,1,157.0407806354441,143663,1023,3.74025974025974,84000001,USA,2929.9934634324422,13.44107213243989
Alaska,US,2020-05-03 02:32:33,61.3707,-152.4044,365,9,261,95,2,49.89440157474933,21399,,2.4657534246575343,84000002,USA,3579.930706701308,
American Samoa,US,2020-05-03 02:32:33,-14.270999999999999,-170.132,0,0,0,0,60,0.0,57,,,16,ASM,102.44244352186337,
Arizona,US,2020-05-03 02:32:33,33.7298,-111.4312,8364,330,1565,6469,4,114.91036126284344,102618,1339,3.945480631276901,84000004,USA,1071.5762132254902,16.00908656145385
Arkansas,US,2020-05-03 02:32:33,34.9697,-92.3731,3372,72,1987,1313,5,111.7368788695356,51582,414,2.1352313167259784,84000005,USA,1992.3314820587038,12.277580071174377
California,US,2020-05-03 02:32:33,36.1162,-119.6816,53881,2153,0,51701,6,136.2970643286762,686803,,3.997846028150184,84000006,USA,1751.663282206821,
Colorado,US,2020-05-03 02:32:33,39.0598,-105.3111,16225,832,2553,12840,8,281.7458553404775,76949,2747,5.12788906009245,84000008,USA,1357.8884639390783,16.9306625577812
Connecticut,US,2020-05-03 02:32:33,41.5978,-72.7554,29287,2436,4346,22505,9,821.4485958633906,100257,7758,8.317683613890122,84000009,USA,2812.031682161913,26.489568750640217
Delaware,US,2020-05-03 02:32:33,39.3185,-75.5071,5038,236,1546,3256,10,517.3738195291672,23112,,4.684398570861453,84000010,USA,2373.470368590336,
Diamond Princess,US,2020-05-03 02:32:33,,,49,0,0,49,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-05-03 02:32:33,38.8974,-77.0268,4797,240,666,3891,11,679.7034073020295,22004,,5.003126954346467,84000011,USA,3117.822341937431,
Florida,US,2020-05-03 02:32:33,27.7663,-81.6868,35463,1364,0,34099,12,165.11516087565462,663684,5945,3.846262301553732,84000012,USA,3090.102090364548,16.763951160364325
Georgia,US,2020-05-03 02:32:33,33.0406,-83.6431,28331,1177,0,27154,13,266.83499376449447,174800,5387,4.154459779040627,84000013,USA,1723.9690778333575,19.014507077053405
Grand Princess,US,2020-05-03 02:32:33,,,103,3,0,100,99999,,,,2.912621359223301,84099999,USA,,
Guam,US,2020-05-03 02:32:33,13.4443,144.7937,145,5,131,9,66,88.29134927448867,3188,,3.4482758620689653,316,GUM,1941.19187232462,
Hawaii,US,2020-05-03 02:32:33,21.0943,-157.4983,620,16,532,72,15,43.789269086471094,31985,72,2.5806451612903225,84000015,USA,2259.1691117160362,11.612903225806452
Idaho,US,2020-05-03 02:32:33,44.2405,-114.4788,2061,64,1215,782,16,115.32876532191051,29490,178,3.1052886948083454,84000016,USA,1831.1117623938449,8.63658418243571
