Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-08-12 04:30:24,32.3182,-86.9023,103485,1847,37923.0,63715.0,1.0,2110.566907020641,1198621.0,12070.0,1.7847997294293858,84000001,USA,24445.763315069693,11.62242058333574
Alaska,US,2020-08-12 04:30:24,61.3707,-152.4044,3871,26,1344.0,2501.0,2.0,529.1540506735744,290744.0,,0.6716610694910876,84000002,USA,39743.82983958608,
American Samoa,US,2020-08-12 04:30:24,-14.271,-170.132,0,0,,,60.0,0.0,1396.0,,,16,ASM,2508.9412483600217,
Arizona,US,2020-08-12 04:30:24,33.7298,-111.4312,188737,4199,26102.0,158436.0,4.0,2592.9981891039315,1478449.0,19292.0,2.2247889920895214,84000004,USA,14250.794473806303,10.22163115870232
Arkansas,US,2020-08-12 04:30:24,34.9697,-92.3731,50411,566,42998.0,6847.0,5.0,1670.4530844282797,572868.0,3401.0,1.1227708238281326,84000005,USA,18982.942563532957,6.7465434131439554
California,US,2020-08-12 04:30:24,36.1162,-119.6816,590983,10352,,,6.0,1495.4840683096975,9186279.0,,1.751906840255272,84000006,USA,23249.2082260216,
Colorado,US,2020-08-12 04:30:24,39.0598,-105.3111,51441,1874,5579.0,43988.0,8.0,893.2689395728507,597182.0,6627.0,3.643008495169223,84000008,USA,10370.018698547738,12.887480066897435
Connecticut,US,2020-08-12 04:30:24,41.5978,-72.7554,50684,4444,8721.0,37519.0,9.0,1421.5966344364422,911299.0,10920.0,8.7680530344882,84000009,USA,25560.326559965582,21.54526083182069
Delaware,US,2020-08-12 04:30:24,39.3185,-75.5071,15699,608,8519.0,6572.0,10.0,1612.1976166709799,202200.0,,3.8728581438308174,84000010,USA,20764.78489654577,
Diamond Princess,US,2020-08-12 04:30:24,,,49,0,,,88888.0,,,,0.0,84088888,USA,,
District of Columbia,US,2020-08-12 04:30:24,38.8974,-77.0268,12896,593,10232.0,2071.0,11.0,1827.278536703559,224749.0,,4.598325062034739,84000011,USA,31845.45780440355,
Florida,US,2020-08-12 04:30:24,27.7663,-81.6868,542792,8553,,,12.0,2527.2308716695807,6783079.0,31750.0,1.5757417205854176,84000012,USA,31581.90734899119,5.849386136862738
Georgia,US,2020-08-12 04:30:24,33.0406,-83.6431,222588,4351,,,13.0,2096.4409160301893,1895485.0,21031.0,1.954732510288066,84000013,USA,17852.590030556377,9.448397936995706
