Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-05-14 03:32:32,32.3182,-86.9023,10822,450,,,1,220.71367896581506,199153,1317,4.158196266863796,84000001,USA,4061.7068293364414,12.30841121495327
Alaska,US,2020-05-14 03:32:32,61.3707,-152.4044,384,10,338,36.0,2,52.49164439644861,30649,,2.6041666666666665,84000002,USA,5127.402973488873,
American Samoa,US,2020-05-14 03:32:32,-14.270999999999999,-170.132,0,0,,,60,0.0,105,,,16,ASM,188.7097643823799,
Arizona,US,2020-05-14 03:32:32,33.7298,-111.4312,12216,595,2979,8642.0,4,167.83177584730936,171535,1590,4.870661427635888,84000004,USA,1755.1170075715268,13.015717092337917
Arkansas,US,2020-05-14 03:32:32,34.9697,-92.3731,4236,97,3220,919.0,5,140.36696882898957,73215,497,2.289896128423041,84000005,USA,2827.8963487055175,11.732766761095373
California,US,2020-05-14 03:32:32,36.1162,-119.6816,73669,2938,,,6,186.3423376609309,1065592,,3.9903297658499484,84000006,USA,2717.749311248394,
Colorado,US,2020-05-14 03:32:32,39.0598,-105.3111,20475,1062,3171,16242.0,8,355.5467727640232,111250,3695,5.186813186813187,84000008,USA,1963.184597762446,18.046398046398046
Connecticut,US,2020-05-14 03:32:32,41.5978,-72.7554,34855,3125,5413,26317.0,9,977.6211564454699,142943,9389,8.965715105436809,84000009,USA,4009.298550158795,26.937311719982787
Delaware,US,2020-05-14 03:32:32,39.3185,-75.5071,6952,355,2942,3655.0,10,713.930685463829,34753,,5.10644418872267,84000010,USA,3568.9345673078897,
Diamond Princess,US,2020-05-14 03:32:32,,,49,0,,,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-05-14 03:32:32,38.8974,-77.0268,6584,350,934,5300.0,11,932.9095755006383,31658,,5.31591737545565,84000011,USA,4485.730762636575,
Florida,US,2020-05-14 03:32:32,27.7663,-81.6868,42402,1827,,,12,197.423033907157,942144,7835,4.308759020800905,84000012,USA,4386.607397231841,18.477901985755388
Georgia,US,2020-05-14 03:32:32,33.0406,-83.6431,35427,1517,,,13,333.6685370828684,273904,6259,4.282044768114715,84000013,USA,2701.384589787574,17.667315889011206
Grand Princess,US,2020-05-14 03:32:32,,,103,3,,,99999,,,,2.912621359223301,84099999,USA,,
Guam,US,2020-05-14 03:32:32,13.4443,144.7937,152,5,124,23.0,66,92.55369027394674,4262,,3.289473684210526,316,GUM,2595.1567628129014,
Hawaii,US,2020-05-14 03:32:32,21.0943,-157.4983,638,17,563,58.0,15,45.06057044704606,38365,81,2.664576802507837,84000015,USA,2709.8021876187504,12.695924764890282
Idaho,US,2020-05-14 03:32:32,44.2405,-114.4788,2293,69,1536,688.0,16,128.3109456007476,33128,214,3.009158307893589,84000016,USA,2057.004763125917,9.332751853467073
Illinois,US,2020-05-14 03:32:32,40.3495,-88.9861,84694,3792,,,17,668.3648703686707,489359,,4.477294731622075,84000017,USA,4169.848921061316,
Indiana,US,2020-05-14 03:32:32,39.8494,-86.2583,25473,1638,,,18,378.3745002947765,154083,4389,6.430338004946414,84000018,USA,2354.5712297413475,17.230008244023082
Iowa,US,2020-05-14 03:32:32,42.0115,-93.2105,13289,306,5954,7029.0,19,421.1950923434345,85719,,2.3026563323049136,84000019,USA,3270.8274427608058,
Kansas,US,2020-05-14 03:32:32,38.5266,-96.7265,7518,188,422,6908.0,20,258.0566324124348,57628,704,2.500665070497473,84000020,USA,2363.2677298391463,9.364192604416068
Kentucky,US,2020-05-14 03:32:32,37.6681,-84.6701,6853,321,2546,3986.0,21,153.39081441278267,110634,1825,4.684079964978841,84000021,USA,3231.7910509236253,26.63067269808843
Louisiana,US,2020-05-14 03:32:32,31.1695,-91.8678,32662,2381,22608,7673.0,22,702.5908224799808,237904,,7.289816912620171,84000022,USA,5174.901778578834,
Maine,US,2020-05-14 03:32:32,44.6939,-69.3819,1515,66,943,506.0,23,112.70543634486226,23607,204,4.356435643564357,84000023,USA,2010.8074405071184,13.465346534653465
Maryland,US,2020-05-14 03:32:32,39.0639,-76.8021,34812,1809,2456,30547.0,24,575.8161199401887,173574,6404,5.196483971044468,84000024,USA,2920.4815141667095,18.395955417672067
