Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-05-02 02:32:31,32.3182,-86.9023,7440,289,0,7151,1,151.73810492567586,140131,1008,3.8844086021505375,84000001,USA,2857.9586534058985,13.81957773512476
Alaska,US,2020-05-02 02:32:31,61.3707,-152.4044,364,9,254,101,2,49.75770458413358,20325,,2.4725274725274726,84000002,USA,3400.2566294548383,
American Samoa,US,2020-05-02 02:32:31,-14.270999999999999,-170.132,0,0,0,0,60,0.0,57,,,16,ASM,102.44244352186337,
Arizona,US,2020-05-02 02:32:31,33.7298,-111.4312,7969,330,1528,6111,4,109.48358069148725,97494,1203,4.141046555402183,84000004,USA,1028.7389934242533,15.095996988329778
Arkansas,US,2020-05-02 02:32:31,34.9697,-92.3731,3337,64,1973,1300,5,110.57709513275216,49676,414,1.917890320647288,84000005,USA,1918.7130918294788,12.406353011687145
California,US,2020-05-02 02:32:31,36.1162,-119.6816,52543,2093,0,50424,6,132.91330128401026,654985,,3.9853761639088296,84000006,USA,1670.5127596941693,
Colorado,US,2020-05-02 02:32:31,39.0598,-105.3111,15793,821,2486,12486,8,274.2442091458959,72390,2697,5.198505667067688,84000008,USA,1277.4376002878514,17.077186095105425
Connecticut,US,2020-05-02 02:32:31,41.5978,-72.7554,28764,2339,4346,22079,9,806.7793700759574,100257,7758,8.131692393269365,84000009,USA,2812.031682161913,26.971214017521902
Delaware,US,2020-05-02 02:32:31,39.3185,-75.5071,4918,224,1403,3291,10,505.050505050505,22585,,4.554697031313542,84000010,USA,2319.3504791715445,
Diamond Princess,US,2020-05-02 02:32:31,,,49,0,0,49,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-05-02 02:32:31,38.8974,-77.0268,4658,231,666,3761,11,660.0080198484163,21135,,4.959209961356805,84000011,USA,2994.6907469936195,
Florida,US,2020-05-02 02:32:31,27.7663,-81.6868,34728,1314,0,33414,12,161.69301262977567,649119,5795,3.783690393918452,84000012,USA,3022.2876832880484,16.686823312600783
Georgia,US,2020-05-02 02:32:31,33.0406,-83.6431,27489,1169,0,26320,13,258.9046325082838,168367,5269,4.252610134963076,84000013,USA,1660.5234652606916,19.16766706682673
Grand Princess,US,2020-05-02 02:32:31,,,103,3,0,100,99999,,,,2.912621359223301,84099999,USA,,
Guam,US,2020-05-02 02:32:31,13.4443,144.7937,145,5,131,9,66,88.29134927448867,3005,,3.4482758620689653,316,GUM,1829.7621004816444,
Hawaii,US,2020-05-02 02:32:31,21.0943,-157.4983,619,16,526,77,15,43.71864123310582,31094,70,2.5848142164781907,84000015,USA,2196.2358718054847,11.308562197092083
Idaho,US,2020-05-02 02:32:31,44.2405,-114.4788,2015,63,1175,777,16,112.75471233558936,29225,178,3.1265508684863526,84000016,USA,1814.657214512042,8.833746898263028
Illinois,US,2020-05-02 02:32:31,40.3495,-88.9861,56055,2457,0,53598,17,442.3594683037268,284688,,4.383195076264383,84000017,USA,2425.8385962843313,
Indiana,US,2020-05-02 02:32:31,39.8494,-86.2583,18630,1198,0,17432,18,276.7289655906916,99639,,6.430488459473967,84000018,USA,1522.6022517746808,
Iowa,US,2020-05-02 02:32:31,42.0115,-93.2105,7884,170,2899,4815,19,249.88352080936397,45592,,2.156265854895992,84000019,USA,1739.67923996256,
Kansas,US,2020-05-02 02:32:31,38.5266,-96.7265,4634,140,280,4214,20,159.0628404627857,33034,534,3.0211480362537766,84000020,USA,1354.6919238478927,11.523521795425118
Kentucky,US,2020-05-02 02:32:31,37.6681,-84.6701,4882,246,1675,2961,21,109.27388821876623,56612,1375,5.038918476034413,84000021,USA,1653.7244877242827,28.164686603850882
Louisiana,US,2020-05-02 02:32:31,31.1695,-91.8678,28711,1970,17303,9438,22,617.6010380326596,168251,,6.8614816620807355,84000022,USA,3659.8056323040696,
Maine,US,2020-05-02 02:32:31,44.6939,-69.3819,1123,55,657,411,23,83.54336964704972,20669,177,4.897595725734639,84000023,USA,1760.5531828627793,15.761353517364203
Maryland,US,2020-05-02 02:32:31,39.0639,-76.8021,23472,1080,1517,20875,24,388.24416773630094,120983,4718,4.601226993865031,84000024,USA,2035.6079541200354,20.100545330606682
Massachusetts,US,2020-05-02 02:32:31,42.2302,-71.5301,64311,3716,0,60595,25,933.0572652634319,289636,6169,5.778171696910326,84000025,USA,4219.77886211838,9.59244919220662
Michigan,US,2020-05-02 02:32:31,43.3266,-84.5361,42356,3866,8342,30148,26,424.11741752184895,190505,,9.127396354707715,84000026,USA,2391.0983689622744,
Minnesota,US,2020-05-02 02:32:31,45.6945,-93.9002,5730,370,2282,3078,27,101.60237405561215,74829,1096,6.457242582897033,84000027,USA,1512.7831174139978,19.12739965095986
Mississippi,US,2020-05-02 02:32:31,32.7416,-89.6787,7212,281,3413,3518,28,242.32657706317795,71548,1226,3.8962839711591792,84000028,USA,2471.2576583496993,16.99944536882973
Missouri,US,2020-05-02 02:32:31,38.4561,-92.2884,8284,361,0,7923,29,134.97510683628386,82425,,4.3577981651376145,84000029,USA,1406.7005537715447,
Montana,US,2020-05-02 02:32:31,46.9219,-110.4544,453,16,397,40,30,42.38485447866629,14203,61,3.532008830022075,84000030,USA,1640.09390441196,13.465783664459162
Nebraska,US,2020-05-02 02:32:31,41.1254,-98.2681,5008,73,0,4935,31,258.89057530779445,27385,,1.457667731629393,84000031,USA,1795.4174730802113,
Nevada,US,2020-05-02 02:32:31,38.3135,-117.0554,5248,246,182,4820,32,170.38098070357475,43595,,4.6875,84000032,USA,1445.1235904699743,
New Hampshire,US,2020-05-02 02:32:31,43.4525,-71.5639,2310,81,980,1249,33,169.88904259802266,22049,262,3.5064935064935066,84000033,USA,1660.1312504329337,11.341991341991342
New Jersey,US,2020-05-02 02:32:31,40.2989,-74.521,121203,7538,15642,98023,34,1364.562118126273,256545,,6.219318003679777,84000034,USA,2888.3079510796324,
New Mexico,US,2020-05-02 02:32:31,34.8405,-106.2485,3513,131,760,2622,35,167.53869771927037,67869,536,3.7290065471107314,84000035,USA,4070.024401316196,15.257614574437802
New York,US,2020-05-02 02:32:31,42.1657,-74.9481,308314,23928,56187,228199,36,1584.8717877410722,927438,67180,7.760919063033142,84000036,USA,5500.484104614044,21.789474367041393
North Carolina,US,2020-05-02 02:32:31,35.6301,-79.8064,11070,419,0,10651,37,105.54835373172068,133832,,3.7850045167118336,84000037,USA,1349.4019636262808,
North Dakota,US,2020-05-02 02:32:31,47.5289,-99.78399999999999,1107,23,482,602,38,145.26377118922082,29525,86,2.077687443541102,84000038,USA,4868.75389582763,7.768744354110208
Northern Mariana Islands,US,2020-05-02 02:32:31,15.0979,145.6739,14,2,12,0,69,25.388074858552155,763,,14.285714285714286,580,MNP,1383.6500797910924,
Ohio,US,2020-05-02 02:32:31,40.3888,-82.7649,18743,1132,0,17611,39,160.34596333336185,140506,3634,6.039588112895481,84000039,USA,1257.4526618375387,19.388571733447154
Oklahoma,US,2020-05-02 02:32:31,35.5653,-96.9289,3748,230,2467,1051,40,94.71891504890989,63552,715,6.136606189967983,84000040,USA,1737.5166569427122,19.07684098185699
Oregon,US,2020-05-02 02:32:31,44.571999999999996,-122.0709,2579,104,0,2475,41,61.1465342670726,58176,591,4.032570763861962,84000041,USA,1451.83243433987,22.915858860023263
Pennsylvania,US,2020-05-02 02:32:31,40.5908,-77.2098,49646,2694,0,46952,42,387.7991146531996,243945,,5.42641904685171,84000042,USA,1806.9358824872013,
Puerto Rico,US,2020-05-02 02:32:31,18.2208,-66.5901,1575,94,0,1481,72,49.3159332108837,31652,,5.968253968253968,630,PRI,991.0780431688196,
Rhode Island,US,2020-05-02 02:32:31,41.6809,-71.5118,8962,378,485,8099,44,845.981681409831,66648,937,4.217808524882838,84000044,USA,6291.339779357556,10.455255523320687
South Carolina,US,2020-05-02 02:32:31,33.8569,-80.945,6258,256,3622,2380,45,121.54491393384833,59379,1110,4.090763822307446,84000045,USA,1178.1606059553867,17.737296260786195
South Dakota,US,2020-05-02 02:32:31,44.2998,-99.4388,2525,21,1686,818,46,285.4207101267268,17363,179,0.8316831683168316,84000046,USA,2359.449484435216,7.089108910891089
