Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-04-25 06:32:46,32.3182,-86.9023,6092,209,,,1,124.24577086118512,103644,769,3.4307288246881154,84000001,USA,2113.80969716623,12.761367407899105
Alaska,US,2020-04-25 06:32:46,61.3707,-152.4044,339,9,208,122.0,2,46.34027981873979,12281,36,2.6548672566371683,84000002,USA,2054.5412873965493,10.619469026548673
American Samoa,US,2020-04-25 06:32:46,-14.270999999999999,-170.132,0,0,,,60,0.0,3,,,16,ASM,5.3917075537822825,
Arizona,US,2020-04-25 06:32:46,33.7298,-111.4312,6045,266,1313,4466.0,4,83.05035076923585,76906,984,4.400330851943755,84000004,USA,834.130520529923,16.277915632754343
Arkansas,US,2020-04-25 06:32:46,34.9697,-92.3731,2810,47,929,1834.0,5,93.114065724613,35578,291,1.6725978647686832,84000005,USA,1374.1842012462596,10.355871886120996
California,US,2020-04-25 06:32:46,36.1162,-119.6816,41463,1586,,,6,104.88400007258514,494173,4880,3.827035374740601,84000006,USA,1260.3682557560046,11.800265989602226
Colorado,US,2020-04-25 06:32:46,39.0598,-105.3111,12256,674,,,8,212.82448092775914,56789,2366,5.499347258485639,84000008,USA,1002.1329449198341,19.304830287206265
Connecticut,US,2020-04-25 06:32:46,41.5978,-72.7554,23936,1767,,,9,671.3625018126171,74038,1877,7.382185828877005,84000009,USA,2076.6350647226996,7.841744652406417
Delaware,US,2020-04-25 06:32:46,39.3185,-75.5071,3442,149,703,2590.0,10,353.47373696296023,17379,277,4.328878558977339,84000010,USA,1784.7240193722503,8.047646717024985
Diamond Princess,US,2020-04-25 06:32:46,,,49,0,0,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-04-25 06:32:46,38.8974,-77.0268,3528,153,651,2724.0,11,499.894438390986,16533,402,4.336734693877551,84000011,USA,2342.6175595006157,11.394557823129253
Florida,US,2020-04-25 06:32:46,27.7663,-81.6868,30533,1046,,,12,142.1611597162215,518127,5009,3.4258015917204334,84000012,USA,2412.3910261122946,16.40520093014116
Georgia,US,2020-04-25 06:32:46,33.0406,-83.6431,22491,899,,,13,211.8310629613231,107520,4322,3.9971544173224847,84000013,USA,1060.418508287429,19.216575519096526
Grand Princess,US,2020-04-25 06:32:46,,,103,3,0,100.0,99999,,,,2.912621359223301,84099999,USA,,
Guam,US,2020-04-25 06:32:46,13.4443,144.7937,141,5,126,10.0,66,85.85572584622692,1374,2,3.5460992907801416,316,GUM,836.6366476079133,1.4184397163120568
Hawaii,US,2020-04-25 06:32:46,21.0943,-157.4983,601,13,463,125.0,15,42.44733987253085,28040,67,2.1630615640599,84000015,USA,1980.5253053780727,11.148086522462563
Idaho,US,2020-04-25 06:32:46,44.2405,-114.4788,1870,54,867,949.0,16,104.64084966131618,19361,168,2.8877005347593583,84000016,USA,1202.1754775078748,8.983957219251337
Illinois,US,2020-04-25 06:32:46,40.3495,-88.9861,39658,1795,,,17,312.96212280776376,189632,4828,4.526199001462504,84000017,USA,1615.8623640286569,12.174088456301376
Indiana,US,2020-04-25 06:32:46,39.8494,-86.2583,13681,916,,,18,203.2167996911568,75553,,6.695417001681164,84000018,USA,1154.53956712063,
Iowa,US,2020-04-25 06:32:46,42.0115,-93.2105,4445,107,1604,2734.0,19,140.8843543883337,31973,278,2.4071991001124857,84000019,USA,1220.0115006870267,6.25421822272216
