Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-10-22 04:30:36,32.3182,-86.9023,176605,2828,74439.0,99338.0,1.0,3601.8424758600786,2151069.0,,1.6013136660909941,84000001,USA,43870.85129359794,
Alaska,US,2020-10-22 04:30:36,61.3707,-152.4044,11657,68,6751.0,4838.0,2.0,1593.4768196078164,547140.0,,0.5833404821137514,84000002,USA,74792.39144550232,
American Samoa,US,2020-10-22 04:30:36,-14.271,-170.132,0,0,,,60.0,0.0,1616.0,,,16,ASM,2904.3331356373897,
Arizona,US,2020-10-22 04:30:36,33.7298,-111.4312,233912,5854,38883.0,189175.0,4.0,3213.643283562199,2590386.0,,2.5026505694449193,84000004,USA,22770.34537817585,
Arkansas,US,2020-10-22 04:30:36,34.9697,-92.3731,101596,1751,91317.0,8528.0,5.0,3366.5539577785703,1242752.0,,1.7234930509075161,84000005,USA,41180.67309871681,
California,US,2020-10-22 04:30:36,36.1162,-119.6816,892597,17144,,,6.0,2258.984517272035,17293139.0,,1.9207349522449093,84000006,USA,43766.555478288334,
Colorado,US,2020-10-22 04:30:36,39.0598,-105.3111,88849,2194,7286.0,79369.0,8.0,1542.8559322740268,1724038.0,,2.469358124458351,84000008,USA,29937.784958365864,
Connecticut,US,2020-10-22 04:30:36,41.5978,-72.7554,64871,4567,9651.0,50653.0,9.0,1819.5169140661046,2070126.0,,7.040125788102542,84000009,USA,58063.376104083625,
Delaware,US,2020-10-22 04:30:36,39.3185,-75.5071,23375,697,12335.0,10343.0,10.0,2400.478966156071,331480.0,,2.981818181818182,84000010,USA,34041.10236155783,
Diamond Princess,US,2020-10-22 04:30:36,,,49,0,,,88888.0,,,,0.0,84088888,USA,,
District of Columbia,US,2020-10-22 04:30:36,38.8974,-77.0268,16498,642,12938.0,2918.0,11.0,2337.6582892784827,476443.0,,3.891380773427082,84000011,USA,67508.84521267477,
Florida,US,2020-10-22 04:30:36,27.7663,-81.6868,762533,16210,,,12.0,3550.3414535712027,11069509.0,,2.125809637091116,84000012,USA,51539.45688039666,
Georgia,US,2020-10-22 04:30:36,33.0406,-83.6431,343750,7704,,,13.0,3237.6029475325604,3327836.0,,2.2411636363636362,84000013,USA,31343.161141832632,
Grand Princess,US,2020-10-22 04:30:36,,,103,3,,,99999.0,,,,2.912621359223301,84099999,USA,,
Guam,US,2020-10-22 04:30:36,13.4443,144.7937,3968,68,2398.0,1502.0,66.0,2416.1384408356625,61243.0,,1.7137096774193548,316,GUM,37291.221404258686,
Hawaii,US,2020-10-22 04:30:36,21.0943,-157.4983,14233,203,11150.0,2880.0,15.0,1005.2462369479726,482982.0,,1.4262629101384108,84000015,USA,34111.981874067715,
Idaho,US,2020-10-22 04:30:36,44.2405,-114.4788,55650,546,26549.0,28555.0,16.0,3114.0445367124307,357833.0,,0.9811320754716981,84000016,USA,20023.502222918585,
Illinois,US,2020-10-22 04:30:36,40.3495,-88.9861,358799,9605,,,17.0,2831.471498847719,6953692.0,,2.6769862792259733,84000017,USA,54875.238531226096,
Indiana,US,2020-10-22 04:30:36,39.8494,-86.2583,152396,4144,110746.0,37506.0,18.0,2263.6815587847036,2574800.0,,2.7192314758917555,84000018,USA,38245.933473049525,
Iowa,US,2020-10-22 04:30:36,42.0115,-93.2105,110250,1594,84671.0,23985.0,19.0,3494.3757190807178,842542.0,,1.4458049886621316,84000019,USA,26704.383737920238,
Kansas,US,2020-10-22 04:30:36,38.5266,-96.7265,76310,955,2485.0,72870.0,20.0,2619.3537668785443,605509.0,,1.2514742497706723,84000020,USA,20784.19971208047,
Kentucky,US,2020-10-22 04:30:36,37.6681,-84.6701,90996,1363,17534.0,72099.0,21.0,2036.765000482354,1714875.0,,1.4978680381555234,84000021,USA,38384.07600556263,
Louisiana,US,2020-10-22 04:30:36,31.1695,-91.8678,177399,5784,165282.0,6333.0,22.0,3816.021961824938,2631404.0,,3.2604467894407523,84000022,USA,56604.013858217855,
Maine,US,2020-10-22 04:30:36,44.6939,-69.3819,6024,146,5244.0,634.0,23.0,448.1435963969969,560810.0,,2.4236387782204516,84000023,USA,41720.353634694526,
Maryland,US,2020-10-22 04:30:36,39.0639,-76.8021,137236,4058,7960.0,125218.0,24.0,2269.984517870612,3138875.0,,2.956950071409834,84000024,USA,51919.30436278466,
Massachusetts,US,2020-10-22 04:30:36,42.2302,-71.5301,146166,9780,118892.0,17494.0,25.0,2120.6519605432163,5366394.0,,6.6910225360206885,84000025,USA,77858.42095389731,
Michigan,US,2020-10-22 04:30:36,43.3266,-84.5361,167872,7418,109539.0,50915.0,26.0,1680.929245307107,4420831.0,,4.418842927945101,84000026,USA,44266.489447080305,
Minnesota,US,2020-10-22 04:30:36,45.6945,-93.9002,126591,2334,113158.0,11099.0,27.0,2244.6677371856886,2539376.0,,1.8437329667985876,84000027,USA,45027.33511690125,
Mississippi,US,2020-10-22 04:30:36,32.7416,-89.6787,112123,3223,97675.0,11225.0,28.0,3767.3853022815724,841667.0,,2.874521730599431,84000028,USA,28280.40531572848,
Missouri,US,2020-10-22 04:30:36,38.4561,-92.2884,168791,2670,,,29.0,2750.1911224050205,2326868.0,,1.5818378942005202,84000029,USA,37912.75433292252,
Montana,US,2020-10-22 04:30:36,46.9219,-110.4544,24712,275,15085.0,9352.0,30.0,2312.1733418913936,447994.0,,1.112819682745225,84000030,USA,41916.46908899696,
Nebraska,US,2020-10-22 04:30:36,41.1254,-98.2681,60308,576,39687.0,20045.0,31.0,3117.6463290060833,549922.0,,0.9550971678715925,84000031,USA,28428.43908834124,
Nevada,US,2020-10-22 04:30:36,38.3135,-117.0554,92064,1732,2329.0,88003.0,32.0,2988.9395212450277,769613.0,,1.8812999652415712,84000032,USA,24986.169531673066,
New Hampshire,US,2020-10-22 04:30:36,43.4525,-71.5639,9917,469,8650.0,798.0,33.0,729.3461625301259,552925.0,,4.72925279822527,84000033,USA,40664.891289399,
New Jersey,US,2020-10-22 04:30:36,40.2989,-74.521,231862,16245,36110.0,179507.0,34.0,2610.4147738339307,4264123.0,,7.006322726449353,84000034,USA,48007.56345000501,
New Mexico,US,2020-10-22 04:30:36,34.8405,-106.2485,38715,950,20165.0,17600.0,35.0,1846.3594313127107,1070481.0,,2.4538292651427094,84000035,USA,51052.37480023407,
New York,US,2020-10-22 04:30:36,42.1657,-74.9481,491882,33420,78645.0,379817.0,36.0,2528.493369414474,13197504.0,,6.794312457052707,84000036,USA,67841.07033154495,
North Carolina,US,2020-10-22 04:30:36,35.6301,-79.8064,250592,4032,218541.0,28019.0,37.0,2389.3019926232473,3692043.0,,1.6089899118886477,84000037,USA,35202.263826262264,
North Dakota,US,2020-10-22 04:30:36,47.5289,-99.784,34165,422,27769.0,5974.0,38.0,4483.231023197588,752495.0,,1.2351822040099516,84000038,USA,98744.59033516957,
