Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-04-12 23:18:15,32.3182,-86.9023,3667,93,,,1,74.78812241430825,62029,437,2.5361330788110172,84000001,USA,1265.0756600046705,12.26494527
Alaska,US,2020-04-12 23:18:15,61.3707,-152.4044,272,8,66,198.0,2,37.18158144748443,8038,31,2.9411764705882355,84000002,USA,1344.711576,11.39705882
Arizona,US,2020-04-12 23:18:15,33.7298,-111.4312,3542,115,,,4,48.662422237325615,52289,,3.2467532467532467,84000004,USA,578.5222863,
Arkansas,US,2020-04-12 23:18:15,34.9697,-92.3731,1280,27,367,886.0,5,42.41494808807994,19722,130,2.109375,84000005,USA,761.7533537,10.15625
California,US,2020-04-12 23:18:15,36.1162,-119.6816,22201,631,,,6,56.139590020030006,190328,5234,2.8446488143539805,84000006,USA,485.4238685,22.9611757
Colorado,US,2020-04-12 23:18:15,39.0598,-105.3111,7307,289,,,8,126.88548320325849,34873,1376,3.9551115368824417,84000008,USA,615.3899908,18.8312577
Connecticut,US,2020-04-12 23:18:15,41.5978,-72.7554,12035,554,,,9,337.5604825081403,41220,1654,4.603240548400499,84000009,USA,1156.148159,13.74324886
Delaware,US,2020-04-12 23:18:15,39.3185,-75.5071,1625,49,191,1385.0,10,166.87821689855036,11103,190,3.0153846153846153,84000010,USA,1140.214672,11.69230769
Diamond Princess,US,2020-04-12 23:18:15,,,49,0,0,49.0,888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-04-12 23:18:15,38.8974,-77.0268,1875,50,493,1332.0,11,265.6751904713999,10640,,2.6666666666666665,84000011,USA,1507.618148,
Florida,US,2020-04-12 23:18:15,27.7663,-81.6868,19895,461,,,12,92.6308018391323,323996,2772,2.3171651168635337,84000012,USA,1508.5201946555171,13.93314903
Georgia,US,2020-04-12 23:18:15,33.0406,-83.6431,12452,433,,,13,117.27892917141946,54453,2505,3.4773530356569227,84000013,USA,537.0439828,20.11725024
Grand Princess,US,2020-04-12 23:18:15,,,103,0,0,103.0,999,,,,0.0,84099999,USA,,
Guam,US,2020-04-12 23:18:15,13.4443,144.7937,133,5,58,70.0,66,80.9844789897034,826,13,3.7593984962406015,316,GUM,502.9562379,9.77443609
Hawaii,US,2020-04-12 23:18:15,21.0943,-157.4983,499,9,300,190.0,15,35.2432988292727,17968,44,1.8036072144288577,84000015,USA,1269.118355,8.817635271
Idaho,US,2020-04-12 23:18:15,44.2405,-114.4788,1407,27,,,16,78.73244677725768,14308,131,1.9189765458422174,84000016,USA,888.4214004,9.310589908
Illinois,US,2020-04-12 23:18:15,40.3495,-88.9861,20852,720,,,17,164.55409210720384,100735,3680,3.4529061960483407,84000017,USA,858.3672336,17.64818722
